date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-02-21,2025-02-21 14:00:00+00:00,short,2.6902,2.7030003,2.6517991000000003,2.6517991000000003,win,2538.9394617484686,97.49756037665583,1722.4568999875864
2025-02-23,2025-02-23 14:00:00+00:00,short,2.5623,2.5664638999999996,2.5498083000000014,2.5498083000000014,win,8273.286582231902,103.34741399925518,1825.8043139868416
2025-02-24,2025-02-24 14:00:00+00:00,long,2.4808,2.4741234,2.5008298,2.4741234,loss,5469.263738989404,-36.51608627973683,1789.2882277071049
2025-02-25,2025-02-25 14:00:00+00:00,long,2.2298,2.2149828,2.2742516,2.2149828,loss,2415.1502682114137,-35.7857645541421,1753.5024631529627
2025-02-26,2025-02-26 14:00:00+00:00,long,2.2119,2.2018959,2.2419123000000005,2.2018959,loss,3505.567643571997,-35.07004926305925,1718.4324138899035
2025-02-27,2025-02-27 14:00:00+00:00,short,2.2225,2.2294271999999995,2.201718400000002,2.201718400000002,win,4961.405514176185,103.10594483339422,1821.5383587232977
2025-02-28,2025-02-28 14:00:00+00:00,long,2.0908,2.0681298,2.158810600000001,2.158810600000001,win,1606.9892270233815,109.29230152339787,1930.8306602466955
2025-03-02,2025-03-02 14:00:00+00:00,short,2.2576,2.2600578,2.250226600000001,2.250226600000001,win,15711.861504165561,115.84983961480174,2046.6804998614973
2025-03-03,2025-03-03 14:00:00+00:00,long,2.6889,2.6760213,2.7275360999999996,2.6760213,loss,3178.396111193694,-40.933609997229944,2005.7468898642674
2025-03-05,2025-03-05 14:00:00+00:00,long,2.4682,2.4618357,2.4872929,2.4618357,loss,6303.118614346498,-40.11493779728535,1965.631952066982
2025-03-06,2025-03-06 14:00:00+00:00,short,2.5977,2.6031004999999996,2.5814985000000017,2.5814985000000017,win,7279.444318367459,117.93791712401894,2083.569869191001
2025-03-08,2025-03-08 14:00:00+00:00,long,2.3508,2.3379597,2.3893209000000004,2.3379597,loss,3245.3601071485537,-41.67139738382002,2041.898471807181
2025-03-09,2025-03-09 14:00:00+00:00,long,2.1925,2.1649329,2.275201299999999,2.1649329,loss,1481.4024484310653,-40.837969436143624,2001.0605023710375
2025-03-10,2025-03-10 14:00:00+00:00,short,2.122,2.1512490999999994,2.0342527000000015,2.1512490999999994,loss,1368.2885985353898,-40.02121004742075,1961.0392923236168
2025-03-11,2025-03-11 14:00:00+00:00,short,2.0921,2.1297276,1.9792172,2.1297276,loss,1042.340883991335,-39.22078584647234,1921.8185064771444
