ts,symbol,side,entry,tp,sl,exit,result,pnl,balance
2024-01-18 13:30:00+00:00,ETH/USDT,BUY,2517.92,2549.99,2503.0,2503.0,SL,-0.0016106127359999996,0.0010737418239999998
2024-01-18 13:45:00+00:00,ETH/USDT,BUY,2515.76,2549.99,2503.0,2503.0,SL,-0.0006442450943999999,0.0004294967295999999
2024-01-18 14:00:00+00:00,ETH/USDT,BUY,2522.48,2549.99,2503.0,2503.0,SL,-0.00025769803776,0.00017179869183999992
2024-01-18 14:15:00+00:00,ETH/USDT,BUY,2527.49,2549.99,2503.0,2503.0,SL,-0.00010307921510399994,6.871947673599998e-05
2024-01-18 14:30:00+00:00,ETH/USDT,BUY,2523.87,2549.99,2503.0,2503.0,SL,-4.123168604159999e-05,2.7487790694399986e-05
2024-01-18 14:45:00+00:00,ETH/USDT,BUY,2534.1,2549.99,2503.0,2503.0,SL,-1.649267441663999e-05,1.0995116277759996e-05
2024-01-18 15:00:00+00:00,ETH/USDT,BUY,2531.31,2549.99,2503.0,2503.0,SL,-6.597069766655997e-06,4.398046511103999e-06
2024-01-18 15:15:00+00:00,ETH/USDT,BUY,2527.51,2549.99,2503.0,2503.0,SL,-2.638827906662399e-06,1.7592186044415995e-06
2024-01-18 15:30:00+00:00,ETH/USDT,BUY,2528.58,2549.99,2503.0,2503.0,SL,-1.0555311626649597e-06,7.036874417766399e-07
2024-01-18 15:45:00+00:00,ETH/USDT,BUY,2526.12,2549.99,2503.0,2503.0,SL,-4.2221246506598393e-07,2.814749767106559e-07
2024-01-18 16:00:00+00:00,ETH/USDT,BUY,2518.86,2549.99,2465.39,2465.39,SL,-1.6888498602639357e-07,1.1258999068426235e-07
2024-01-18 16:15:00+00:00,ETH/USDT,BUY,2509.84,2549.99,2465.39,2465.39,SL,-6.755399441055741e-08,4.503599627370494e-08
2024-01-18 16:30:00+00:00,ETH/USDT,BUY,2494.12,2549.99,2465.39,2465.39,SL,-2.7021597764222966e-08,1.8014398509481973e-08
2024-01-18 16:45:00+00:00,ETH/USDT,BUY,2488.78,2549.99,2465.39,2465.39,SL,-1.0808639105689185e-08,7.205759403792788e-09
2024-01-18 17:00:00+00:00,ETH/USDT,BUY,2471.59,2549.99,2465.39,2465.39,SL,-4.323455642275673e-09,2.882303761517115e-09
2024-01-18 17:15:00+00:00,ETH/USDT,BUY,2494.1,2549.99,2465.39,2465.39,SL,-1.729382256910269e-09,1.152921504606846e-09
2024-01-18 17:30:00+00:00,ETH/USDT,BUY,2489.64,2549.99,2465.39,2465.39,SL,-6.917529027641076e-10,4.611686018427384e-10
2024-01-18 17:45:00+00:00,ETH/USDT,BUY,2481.42,2549.99,2465.39,2465.39,SL,-2.7670116110564304e-10,1.8446744073709538e-10
2024-01-18 20:00:00+00:00,ETH/USDT,BUY,2448.65,2549.99,2428.22,2428.22,SL,-1.1068046444225723e-10,7.378697629483815e-11
2024-01-18 20:15:00+00:00,ETH/USDT,BUY,2436.16,2549.99,2428.22,2428.22,SL,-4.427218577690289e-11,2.951479051793526e-11
2024-01-18 20:30:00+00:00,ETH/USDT,BUY,2446.87,2549.99,2428.22,2428.22,SL,-1.770887431076116e-11,1.1805916207174099e-11
2024-01-18 20:45:00+00:00,ETH/USDT,BUY,2446.66,2549.99,2428.22,2428.22,SL,-7.08354972430446e-12,4.722366482869639e-12
2024-01-18 21:00:00+00:00,ETH/USDT,BUY,2449.39,2549.99,2428.22,2428.22,SL,-2.833419889721783e-12,1.888946593147856e-12
2024-01-18 21:15:00+00:00,ETH/USDT,BUY,2456.72,2549.99,2428.22,2428.22,SL,-1.1333679558887136e-12,7.555786372591423e-13
2024-01-18 21:30:00+00:00,ETH/USDT,BUY,2462.11,2549.99,2428.22,2428.22,SL,-4.533471823554854e-13,3.022314549036569e-13
2024-01-18 21:45:00+00:00,ETH/USDT,BUY,2457.88,2549.99,2428.22,2428.22,SL,-1.8133887294219415e-13,1.2089258196146277e-13
2024-01-18 22:00:00+00:00,ETH/USDT,BUY,2463.86,2549.99,2428.22,2428.22,SL,-7.253554917687766e-14,4.8357032784585115e-14
2024-01-18 22:15:00+00:00,ETH/USDT,BUY,2463.3,2549.99,2428.22,2428.22,SL,-2.901421967075107e-14,1.9342813113834043e-14
2024-01-18 22:30:00+00:00,ETH/USDT,BUY,2468.15,2549.99,2428.22,2428.22,SL,-1.1605687868300428e-14,7.737125245533615e-15
2024-01-18 22:45:00+00:00,ETH/USDT,BUY,2470.59,2549.99,2428.22,2428.22,SL,-4.642275147320169e-15,3.0948500982134464e-15
2024-01-18 23:00:00+00:00,ETH/USDT,BUY,2466.3,2549.99,2428.22,2428.22,SL,-1.856910058928068e-15,1.2379400392853785e-15
2024-01-18 23:15:00+00:00,ETH/USDT,BUY,2469.61,2549.99,2428.22,2428.22,SL,-7.427640235712271e-16,4.951760157141515e-16
2024-01-18 23:30:00+00:00,ETH/USDT,BUY,2470.0,2549.99,2428.22,2428.22,SL,-2.971056094284909e-16,1.9807040628566056e-16
2024-01-18 23:45:00+00:00,ETH/USDT,BUY,2471.29,2549.99,2428.22,2428.22,SL,-1.1884224377139634e-16,7.922816251426423e-17
2024-01-19 00:00:00+00:00,ETH/USDT,BUY,2466.77,2549.99,2428.22,2428.22,SL,-4.753689750855854e-17,3.1691265005705686e-17
2024-01-19 00:15:00+00:00,ETH/USDT,BUY,2463.18,2549.99,2428.22,2428.22,SL,-1.901475900342341e-17,1.2676506002282275e-17
2024-01-19 00:30:00+00:00,ETH/USDT,BUY,2470.42,2549.99,2428.22,2428.22,SL,-7.605903601369365e-18,5.07060240091291e-18
2024-01-19 00:45:00+00:00,ETH/USDT,BUY,2468.3,2549.99,2428.22,2428.22,SL,-3.042361440547746e-18,2.028240960365164e-18
2024-01-19 01:00:00+00:00,ETH/USDT,BUY,2468.73,2549.99,2428.22,2428.22,SL,-1.2169445762190983e-18,8.112963841460656e-19
2024-01-19 01:15:00+00:00,ETH/USDT,BUY,2459.95,2549.99,2428.22,2428.22,SL,-4.867778304876394e-19,3.2451855365842615e-19
2024-01-19 01:30:00+00:00,ETH/USDT,BUY,2466.46,2549.99,2428.22,2428.22,SL,-1.947111321950557e-19,1.2980742146337045e-19
2024-01-19 01:45:00+00:00,ETH/USDT,BUY,2463.79,2549.99,2428.22,2428.22,SL,-7.788445287802228e-20,5.1922968585348176e-20
2024-01-19 02:00:00+00:00,ETH/USDT,BUY,2463.68,2549.99,2428.22,2428.22,SL,-3.11537811512089e-20,2.0769187434139275e-20
2024-01-19 02:15:00+00:00,ETH/USDT,BUY,2460.51,2549.99,2428.22,2428.22,SL,-1.2461512460483566e-20,8.307674973655709e-21
2024-01-19 02:30:00+00:00,ETH/USDT,BUY,2452.5,2549.99,2428.22,2428.22,SL,-4.984604984193426e-21,3.323069989462283e-21
2024-01-19 02:45:00+00:00,ETH/USDT,BUY,2453.07,2549.99,2428.22,2428.22,SL,-1.99384199367737e-21,1.329227995784913e-21
2024-01-19 03:00:00+00:00,ETH/USDT,BUY,2451.51,2549.99,2428.22,2428.22,SL,-7.975367974709478e-22,5.316911983139652e-22
2024-01-19 03:15:00+00:00,ETH/USDT,BUY,2448.81,2549.99,2428.22,2428.22,SL,-3.190147189883792e-22,2.1267647932558603e-22
2024-01-19 03:30:00+00:00,ETH/USDT,BUY,2456.94,2549.99,2428.22,2428.22,SL,-1.2760588759535163e-22,8.50705917302344e-23
2024-01-19 03:45:00+00:00,ETH/USDT,BUY,2460.77,2549.99,2428.22,2428.22,SL,-5.1042355038140636e-23,3.4028236692093765e-23
2024-01-19 04:00:00+00:00,ETH/USDT,BUY,2457.26,2541.81,2428.22,2428.22,SL,-2.041694201525626e-23,1.3611294676837507e-23
2024-01-19 04:15:00+00:00,ETH/USDT,BUY,2463.26,2541.81,2428.22,2428.22,SL,-8.166776806102503e-24,5.444517870735003e-24
2024-01-19 04:30:00+00:00,ETH/USDT,BUY,2462.44,2541.81,2428.22,2428.22,SL,-3.266710722441002e-24,2.1778071482940013e-24
2024-01-19 04:45:00+00:00,ETH/USDT,BUY,2462.48,2541.81,2428.22,2428.22,SL,-1.3066842889764008e-24,8.711228593176006e-25
2024-01-19 05:00:00+00:00,ETH/USDT,BUY,2466.52,2541.81,2428.22,2428.22,SL,-5.226737155905603e-25,3.4844914372704024e-25
2024-01-19 05:15:00+00:00,ETH/USDT,BUY,2467.0,2541.81,2428.22,2428.22,SL,-2.090694862362241e-25,1.3937965749081613e-25
2024-01-19 05:30:00+00:00,ETH/USDT,BUY,2465.33,2541.81,2428.22,2428.22,SL,-8.362779449448968e-26,5.575186299632646e-26
2024-01-19 05:45:00+00:00,ETH/USDT,BUY,2465.2,2541.81,2428.22,2428.22,SL,-3.3451117797795876e-26,2.2300745198530582e-26
2024-01-19 06:00:00+00:00,ETH/USDT,BUY,2464.04,2535.89,2428.22,2428.22,SL,-1.338044711911835e-26,8.920298079412233e-27
2024-01-19 06:15:00+00:00,ETH/USDT,BUY,2464.36,2535.89,2428.22,2428.22,SL,-5.35217884764734e-27,3.568119231764894e-27
2024-01-19 06:30:00+00:00,ETH/USDT,BUY,2468.39,2535.89,2428.22,2428.22,SL,-2.140871539058936e-27,1.4272476927059577e-27
2024-01-19 06:45:00+00:00,ETH/USDT,BUY,2471.48,2535.89,2428.22,2428.22,SL,-8.563486156235745e-28,5.708990770823831e-28
2024-01-19 07:00:00+00:00,ETH/USDT,BUY,2468.56,2535.89,2428.22,2428.22,SL,-3.425394462494299e-28,2.2835963083295326e-28
2024-01-19 07:15:00+00:00,ETH/USDT,BUY,2468.42,2535.89,2428.22,2428.22,SL,-1.3701577849977194e-28,9.134385233318132e-29
