ts,symbol,side,entry,tp,sl,exit,result,pnl,balance
2024-01-21 10:15:00+00:00,BTC/USDT,SELL,41800.0,41522.0,41883.5,41522.0,TP,106896421501488.62,160408718835866.94
2024-01-21 10:30:00+00:00,BTC/USDT,SELL,41752.7,41522.0,41883.5,41522.0,TP,169753630437767.06,330162349273634.0
2024-01-21 10:45:00+00:00,BTC/USDT,SELL,41788.5,41522.0,41883.5,41522.0,TP,555715364724779.7,885877713998413.8
2024-01-21 11:00:00+00:00,BTC/USDT,SELL,41791.9,41522.0,41883.5,41522.0,TP,1566146692193298.5,2452024406191712.0
2024-01-21 11:15:00+00:00,BTC/USDT,SELL,41776.5,41522.0,41883.5,41522.0,TP,3499290904910976.5,5951315311102688.0
2024-01-21 11:30:00+00:00,BTC/USDT,SELL,41721.6,41522.0,41883.5,41522.0,TP,4402282406779780.0,1.0353597717882468e+16
2024-01-21 11:45:00+00:00,BTC/USDT,SELL,41720.9,41522.0,41883.5,41522.0,TP,7599005852719027.0,1.7952603570601496e+16
2024-01-21 12:00:00+00:00,BTC/USDT,SELL,41791.1,41522.0,41883.5,41522.0,TP,3.1370426109407536e+16,4.932302968000903e+16
2024-01-21 12:15:00+00:00,BTC/USDT,SELL,41754.1,41522.0,41883.5,41522.0,TP,5.308133781482178e+16,1.0240436749483082e+17
2024-01-21 12:30:00+00:00,BTC/USDT,SELL,41743.8,41522.0,41883.5,41522.0,TP,9.755170526995381e+16,1.9995607276478464e+17
2024-01-21 12:45:00+00:00,BTC/USDT,SELL,41736.3,41522.0,41883.5,41522.0,TP,1.7466271627783197e+17,3.746187890426166e+17
2024-01-21 13:00:00+00:00,BTC/USDT,SELL,41799.6,41522.0,41883.5,41522.0,TP,7.437008999158143e+17,1.1183196889584308e+18
2024-01-21 13:15:00+00:00,BTC/USDT,SELL,41800.0,41522.0,41883.5,41522.0,TP,2.233960767883428e+18,3.352280456841859e+18
2024-01-21 13:30:00+00:00,BTC/USDT,SELL,41816.1,41522.0,41883.5,41522.0,TP,8.776608448283365e+18,1.2128888905125224e+19
2024-01-21 13:45:00+00:00,BTC/USDT,SELL,41853.6,41522.0,41883.5,41522.0,TP,8.070781727637414e+19,9.283670618149936e+19
2024-01-21 14:00:00+00:00,BTC/USDT,SELL,41855.2,41544.0,41883.5,41544.0,TP,6.125254338589263e+20,7.053621400404256e+20
2024-01-21 14:15:00+00:00,BTC/USDT,SELL,41774.1,41544.0,41883.5,41544.0,TP,8.901489675866476e+20,1.5955111076270734e+21
