date,entry_time,direction,entry,sl,tp,exit_price,result,position_size,pnl_usd,account_balance
2025-02-11,2025-02-11 14:00:00+00:00,short,18.964,19.009990999999996,18.826027000000007,18.826027000000007,win,959.1170422158541,132.33225566564008,2337.869850092974
2025-02-13,2025-02-13 14:00:00+00:00,long,18.468,18.394587,18.688238999999996,18.394587,loss,636.9089534804511,-46.75739700185948,2291.1124530911147
2025-02-14,2025-02-14 14:00:00+00:00,short,19.303,19.347327999999997,19.17001600000001,19.17001600000001,win,1033.7089212647948,137.4667471854669,2428.5792002765816
2025-02-16,2025-02-16 14:00:00+00:00,short,18.8,18.867849,18.596453000000004,18.867849,loss,715.8776696124098,-48.57158400553163,2380.0076162710498
2025-02-18,2025-02-18 14:00:00+00:00,long,18.251,18.123858,18.63242600000001,18.123858,loss,374.3857444858502,-47.60015232542099,2332.407463945629
2025-02-20,2025-02-20 14:00:00+00:00,long,18.259,18.129852,18.646444000000002,18.129852,loss,361.1991612639168,-46.64814927891258,2285.7593146667164
2025-02-21,2025-02-21 14:00:00+00:00,short,18.955,19.071051999999998,18.606844,18.606844,win,393.91984880341914,137.145558880003,2422.9048735467195
2025-02-22,2025-02-22 14:00:00+00:00,short,17.633,17.654636999999997,17.568089000000004,17.654636999999997,loss,2239.5940967295874,-48.45809747093439,2374.4467760757852
2025-02-23,2025-02-23 14:00:00+00:00,short,17.734,17.766748999999997,17.635753000000015,17.635753000000015,win,1450.0881102177857,142.4668065645471,2516.913582640332
2025-02-25,2025-02-25 14:00:00+00:00,long,14.776,14.692293000000001,15.027120999999996,14.692293000000001,loss,601.3627492659809,-50.338271652806654,2466.5753109875254
2025-02-26,2025-02-26 14:00:00+00:00,short,15.089,15.238223,14.641331000000003,15.238223,loss,330.5891599803701,-49.33150621975051,2417.243804767775
2025-02-27,2025-02-27 14:00:00+00:00,short,15.612,15.650634999999998,15.496095000000008,15.496095000000008,win,1251.3233103496464,145.0346282860665,2562.2784330538416
2025-02-28,2025-02-28 14:00:00+00:00,long,14.217,14.091894,14.592318000000002,14.091894,loss,409.61719390817854,-51.24556866107683,2511.0328643927646
2025-03-01,2025-03-01 14:00:00+00:00,long,14.287,14.233751999999999,14.446744000000006,14.446744000000006,win,943.146358320569,150.6619718635659,2661.6948362563307
2025-03-02,2025-03-02 14:00:00+00:00,short,14.616,14.631616999999999,14.569149000000003,14.569149000000003,win,3408.71465231033,159.70169017537984,2821.3965264317108
